step,t,px_actual,py_actual,pz_actual,px_ref,py_ref,pz_ref,pos_err,rot_err_deg,xerr_norm,grip_actual,grip_ref
134,1.340,0.946904,-0.001363,0.258026,0.984000,0.000000,0.262958,0.037448,11.4972,0.204141,0,0
135,1.350,0.949300,-0.001371,0.254393,0.985299,0.000000,0.258707,0.036282,11.2452,0.199602,0,0
136,1.360,0.951600,-0.001379,0.250855,0.986514,0.000000,0.254591,0.035140,10.9980,0.195151,0,0
137,1.370,0.953809,-0.001386,0.247419,0.987650,0.000000,0.250612,0.034020,10.7556,0.190787,0,0
138,1.380,0.955926,-0.001393,0.244084,0.988711,0.000000,0.246773,0.032924,10.5177,0.186505,0,0
139,1.390,0.957957,-0.001398,0.240856,0.989700,0.000000,0.243074,0.031852,10.2844,0.182308,0,0
140,1.400,0.959902,-0.001404,0.237737,0.990621,0.000000,0.239517,0.030803,10.0556,0.178192,0,0
141,1.410,0.961763,-0.001409,0.234730,0.991477,0.000000,0.236103,0.029779,9.8311,0.174156,0,0
142,1.420,0.963545,-0.001414,0.231836,0.992272,0.000000,0.232832,0.028779,9.6109,0.170199,0,0
143,1.430,0.965250,-0.001418,0.229058,0.993008,0.000000,0.229704,0.027802,9.3950,0.166319,0,0
144,1.440,0.966879,-0.001421,0.226396,0.993690,0.000000,0.226720,0.026851,9.1832,0.162515,0,0
145,1.450,0.968437,-0.001425,0.223853,0.994321,0.000000,0.223879,0.025923,8.9754,0.158785,0,0
146,1.460,0.969925,-0.001427,0.221429,0.994902,0.000000,0.221181,0.025020,8.7716,0.155128,0,0
147,1.470,0.971345,-0.001430,0.219124,0.995438,0.000000,0.218625,0.024141,8.5717,0.151543,0,0
148,1.480,0.972701,-0.001433,0.216940,0.995931,0.000000,0.216209,0.023285,8.3756,0.148029,0,0
149,1.490,0.973995,-0.001435,0.214876,0.996383,0.000000,0.213934,0.022453,8.1833,0.144582,0,0
150,1.500,0.975230,-0.001436,0.212931,0.996797,0.000000,0.211796,0.021644,7.9947,0.141205,0,0
151,1.510,0.976407,-0.001438,0.211106,0.997176,0.000000,0.209794,0.020859,7.8097,0.137894,0,0
152,1.520,0.977528,-0.001439,0.209398,0.997521,0.000000,0.207927,0.020098,7.6282,0.134648,0,0
153,1.530,0.978597,-0.001441,0.207807,0.997834,0.000000,0.206191,0.019359,7.4502,0.131465,0,0
154,1.540,0.979616,-0.001441,0.206331,0.998119,0.000000,0.204584,0.018641,7.2757,0.128347,0,0
155,1.550,0.980585,-0.001442,0.204968,0.998376,0.000000,0.203103,0.017947,7.1044,0.125289,0,0
156,1.560,0.981507,-0.001443,0.203716,0.998607,0.000000,0.201745,0.017273,6.9365,0.122292,0,0
157,1.570,0.982385,-0.001444,0.202572,0.998815,0.000000,0.200507,0.016622,6.7717,0.119354,0,0
158,1.580,0.983221,-0.001444,0.201534,0.999000,0.000000,0.199384,0.015990,6.6102,0.116474,0,0
159,1.590,0.984016,-0.001443,0.200598,0.999164,0.000000,0.198372,0.015379,6.4518,0.113651,0,0
160,1.600,0.984770,-0.001443,0.199760,0.999310,0.000000,0.197468,0.014790,6.2963,0.110883,0,0
161,1.610,0.985489,-0.001443,0.199018,0.999437,0.000000,0.196666,0.014218,6.1439,0.108170,0,0
162,1.620,0.986171,-0.001443,0.198366,0.999547,0.000000,0.195962,0.013667,5.9944,0.105511,0,0
163,1.630,0.986819,-0.001442,0.197800,0.999642,0.000000,0.195351,0.013134,5.8477,0.102904,0,0
164,1.640,0.987435,-0.001442,0.197316,0.999723,0.000000,0.194828,0.012620,5.7039,0.100350,0,0
165,1.650,0.988020,-0.001441,0.196908,0.999791,0.000000,0.194386,0.012124,5.5628,0.097844,0,0
166,1.660,0.988577,-0.001440,0.196571,0.999846,0.000000,0.194019,0.011645,5.4245,0.095389,0,0
167,1.670,0.989105,-0.001439,0.196299,0.999891,0.000000,0.193722,0.011183,5.2889,0.092983,0,0
168,1.680,0.989608,-0.001439,0.196087,0.999927,0.000000,0.193488,0.010737,5.1557,0.090623,0,0
169,1.690,0.990087,-0.001438,0.195927,0.999953,0.000000,0.193310,0.010308,5.0252,0.088310,0,0
170,1.700,0.990543,-0.001437,0.195813,0.999973,0.000000,0.193181,0.009895,4.8972,0.086044,0,0
171,1.710,0.990979,-0.001436,0.195738,0.999986,0.000000,0.193094,0.009497,4.7717,0.083822,0,0
172,1.720,0.991396,-0.001435,0.195695,0.999994,0.000000,0.193040,0.009113,4.6486,0.081644,0,0
173,1.730,0.991795,-0.001433,0.195676,0.999998,0.000000,0.193012,0.008743,4.5278,0.079508,0,0
174,1.740,0.992178,-0.001432,0.195673,1.000000,0.000000,0.193001,0.008388,4.4094,0.077414,0,0
175,1.750,0.992549,-0.001431,0.195677,1.000000,0.000000,0.193000,0.008046,4.2933,0.075363,0,0
176,1.760,0.992906,-0.001430,0.195634,1.000000,0.000000,0.192952,0.007718,4.1793,0.073350,0,0
177,1.770,0.993253,-0.001429,0.195323,1.000000,0.000000,0.192635,0.007402,4.0676,0.071379,0,0
178,1.780,0.993588,-0.001427,0.194520,1.000000,0.000000,0.191830,0.007099,3.9581,0.069446,0,0
179,1.790,0.993909,-0.001428,0.193060,1.000000,0.000000,0.190369,0.006810,3.8507,0.067551,0,0
180,1.800,0.994212,-0.001427,0.190819,1.000000,0.000000,0.188131,0.006540,3.7453,0.065694,0,0
181,1.810,0.994492,-0.001426,0.187719,1.000000,0.000000,0.185037,0.006290,3.6420,0.063875,0,0
182,1.820,0.994743,-0.001425,0.183721,1.000000,0.000000,0.181051,0.006066,3.5407,0.062094,0,0
183,1.830,0.994961,-0.001423,0.178824,1.000000,0.000000,0.176169,0.005871,3.4413,0.060348,0,0
184,1.840,0.995148,-0.001420,0.173060,1.000000,0.000000,0.170423,0.005702,3.3438,0.058639,0,0
185,1.850,0.995306,-0.001417,0.166490,1.000000,0.000000,0.163869,0.005560,3.2483,0.056966,0,0
186,1.860,0.995440,-0.001414,0.159200,1.000000,0.000000,0.156591,0.005441,3.1545,0.055325,0,0
187,1.870,0.995557,-0.001409,0.151295,1.000000,0.000000,0.148691,0.005339,3.0627,0.053720,0,0
188,1.880,0.995665,-0.001405,0.142898,1.000000,0.000000,0.140291,0.005250,2.9726,0.052147,0,0
189,1.890,0.995770,-0.001400,0.134140,1.000000,0.000000,0.131524,0.005167,2.8842,0.050603,0,0
190,1.900,0.995880,-0.001396,0.125163,1.000000,0.000000,0.122533,0.005083,2.7975,0.049090,0,0
191,1.910,0.996001,-0.001391,0.116113,1.000000,0.000000,0.113467,0.004993,2.7125,0.047606,0,0
192,1.920,0.996137,-0.001387,0.107138,1.000000,0.000000,0.104476,0.004892,2.6292,0.046149,0,0
193,1.930,0.996293,-0.001384,0.098385,1.000000,0.000000,0.095709,0.004777,2.5475,0.044719,0,0
194,1.940,0.996470,-0.001381,0.089993,1.000000,0.000000,0.087309,0.004645,2.4674,0.043315,0,0
195,1.950,0.996670,-0.001381,0.082097,1.000000,0.000000,0.079409,0.004496,2.3888,0.041935,0,0
196,1.960,0.996893,-0.001380,0.074817,1.000000,0.000000,0.072131,0.004333,2.3119,0.040582,0,0
197,1.970,0.997135,-0.001381,0.068256,1.000000,0.000000,0.065577,0.004159,2.2363,0.039252,0,0
198,1.980,0.997394,-0.001383,0.062500,1.000000,0.000000,0.059831,0.003979,2.1623,0.037948,0,0
199,1.990,0.997666,-0.001385,0.057606,1.000000,0.000000,0.054949,0.003798,2.0896,0.036668,0,0
200,2.000,0.997947,-0.001388,0.053607,1.000000,0.000000,0.050963,0.003624,2.0185,0.035415,0,0
201,2.010,0.998232,-0.001392,0.050502,1.000000,0.000000,0.047869,0.003463,1.9487,0.034187,0,0
202,2.020,0.998514,-0.001396,0.048252,1.000000,0.000000,0.045631,0.003321,1.8802,0.032984,0,0
